1/1/1960,1,1.78,4.37,20.5,32.99,-3.8
2/1/1960,1.01,1.8,4.29,20.9,58.92,-2.66
3/1/1960,1.02,1.82,4.19,21.8,66.45,-0.38
4/1/1960,1.06,1.82,3.96,21.8,51.91,8.31
5/1/1960,1.08,1.82,3.82,21.7,62.9,13.51
6/1/1960,1.09,1.72,3.8,20.8,68.89,18.62
7/1/1960,1.09,1.67,3.96,20.3,77.37,21.38
8/1/1960,1.07,1.71,4.14,19.6,66.8,20.32
9/1/1960,1.06,1.72,4.42,19.4,73.6,16.72
10/1/1960,0.99,1.74,4.55,19,44.27,10.25
11/1/1960,0.9,1.76,4.65,19.2,57.7,2.93
12/1/1960,0.92,1.77,4.58,20.2,59.3,-2.35
1/1/1961,0.97,1.79,4.45,20.9,50.73,-3.28
2/1/1961,1.01,1.81,4.32,20.7,56,-0.44
3/1/1961,1.01,1.8,4.19,20.8,48.48,2.56
4/1/1961,0.97,1.74,4.04,20.5,45.29,6.57
5/1/1961,1.02,1.76,3.94,19.7,59.86,13.2
6/1/1961,1.03,1.72,3.87,19.4,75.91,18.88
7/1/1961,1.05,1.73,4.02,19.2,70.94,20.95
8/1/1961,1.04,1.83,4.17,20.1,53.32,20.54
9/1/1961,1.04,1.87,4.38,20.2,65.66,15.54
10/1/1961,1.02,1.88,4.48,20,52.17,9.41
11/1/1961,0.99,1.88,4.54,20.1,43.23,1.81
12/1/1961,0.99,1.89,4.46,20.5,36.52,-4.06
1/1/1962,0.99,1.88,4.4,20.8,39.06,-5.03
2/1/1962,1,1.88,4.31,21,38.44,-0.64
3/1/1962,1,1.89,4.19,21.1,58.84,0.54
4/1/1962,1.02,1.92,3.89,21.3,51.18,8.33
5/1/1962,1.04,1.98,3.75,21.3,52.76,14.38
6/1/1962,1.04,1.99,3.72,20.9,70.12,18.15
7/1/1962,1.05,1.98,3.86,21,67.97,20.68
8/1/1962,1.03,2,4.03,21.6,63.51,20.49
9/1/1962,1.04,1.99,4.21,22,52.92,15.65
10/1/1962,1.03,1.97,4.34,21.7,25.97,11.01
11/1/1962,0.99,2,4.4,21.5,55.52,3.46
12/1/1962,1.04,2.02,4.31,21.5,35.26,-1.88
1/1/1963,1.07,2.01,4.26,21.7,50.95,-5.63
2/1/1963,1.09,2.01,4.2,20.4,38.32,-1.28
3/1/1963,1.1,2.04,4.07,19.7,61.62,3.26
4/1/1963,1.1,2.09,3.88,20.5,71.54,8.26
5/1/1963,1.11,2.04,3.8,19.7,51.16,14.17
6/1/1963,1.16,1.86,3.73,19.7,64.89,18.32
7/1/1963,1.19,1.75,3.91,20.7,62,21.22
8/1/1963,1.19,1.77,4.08,20.4,70.62,20.27
9/1/1963,1.21,1.84,4.27,20.1,59.56,17.05
10/1/1963,1.11,1.95,4.41,19.6,34.42,12.25
11/1/1963,1.05,1.95,4.47,18.6,52.76,2.9
12/1/1963,1.09,1.97,4.42,17.6,67.52,-3.78
1/1/1964,1.12,2,4.33,18.7,50.26,-3.23
2/1/1964,1.11,1.99,4.24,18.3,47.94,-2.84
3/1/1964,1.13,1.85,4.1,18.8,50.22,0.31
4/1/1964,1.15,1.94,3.96,18.2,55.93,7.69
5/1/1964,1.17,1.88,3.82,17.6,61.29,13.73
6/1/1964,1.16,1.4,3.79,17.5,75.45,18.29
7/1/1964,1.12,1.33,3.94,18.1,67.04,21.71
8/1/1964,1.12,1.33,4.09,18.2,71.39,19.68
9/1/1964,1.17,1.36,4.33,18.6,86.47,15.69
10/1/1964,1.13,1.36,4.5,17.8,36.52,9.88
11/1/1964,1.07,1.39,4.52,17.5,45.56,2.93
12/1/1964,1.16,1.39,4.45,17.4,49.59,-3.75
1/1/1965,1.18,1.38,4.32,18,49.58,-3.29
2/1/1965,1.2,1.37,4.26,18.2,52.62,-3.29
3/1/1965,1.21,1.36,4.16,18.6,35.3,0.53
4/1/1965,1.23,1.34,4.02,19.2,53.24,8.52
5/1/1965,1.26,1.33,3.89,20.5,50.89,13.59
6/1/1965,1.25,1.28,3.86,21.3,53.12,17.46
7/1/1965,1.22,1.31,4.02,21,60.61,20.68
8/1/1965,1.18,1.34,4.18,20.6,75.36,19.7
9/1/1965,1.18,1.33,4.43,20.6,57.73,15.04
10/1/1965,1.1,1.35,4.57,20.1,40.3,9.65
11/1/1965,1.04,1.38,4.65,19.7,45.57,4.21
12/1/1965,1.13,1.4,4.63,20.3,54.33,-1.22
1/1/1966,1.19,1.41,4.57,21.1,45.41,-6.07
2/1/1966,1.2,1.43,4.6,22.4,32.4,-3.08
3/1/1966,1.17,1.41,4.57,23.8,44.66,2.22
4/1/1966,1.19,1.39,4.46,23.6,60.07,7.21
5/1/1966,1.21,1.44,4.36,23,65.46,13.33
6/1/1966,1.2,1.59,4.37,22.5,81.48,18.31
7/1/1966,1.27,1.74,4.72,21.9,73.35,21.9
8/1/1966,1.34,1.7,5,22.4,65.88,19.65
9/1/1966,1.35,1.71,5.28,22.5,57.75,16.17
10/1/1966,1.29,1.59,5.38,21.9,50.28,9.14
11/1/1966,1.26,1.6,5.37,20.9,40.99,3.3
12/1/1966,1.29,1.61,5.27,21,68.04,-2.66
1/1/1967,1.28,1.57,5.17,21.8,48.85,-2.49
2/1/1967,1.26,1.49,5.09,21.7,33.23,-2.35
3/1/1967,1.28,1.59,4.98,21.5,47.03,3.59
4/1/1967,1.26,1.55,4.78,21.8,53.53,8.21
5/1/1967,1.25,1.58,4.76,22.3,74.08,12.47
6/1/1967,1.26,1.49,4.67,23,70.86,18.16
7/1/1967,1.21,1.37,4.8,23.2,65,20.72
8/1/1967,1.11,1.41,4.96,23.3,69.68,20.02
9/1/1967,1.12,1.39,5.21,23,54.36,15.91
10/1/1967,1.04,1.43,5.3,22.3,47.25,9.7
11/1/1967,0.98,1.39,5.36,21.4,60.47,2.87
12/1/1967,1.03,1.39,5.3,21.7,60.75,-2.39
1/1/1968,1.04,1.4,5.26,21.9,62.53,-4.3
2/1/1968,1.06,1.42,5.18,22.9,49.14,-2.37
3/1/1968,1.06,1.42,5.07,23.4,42.07,3.63
4/1/1968,1.06,1.36,5.02,23.6,55.43,7.6
5/1/1968,1.09,1.36,5,23.7,59.63,12.75
6/1/1968,1.07,1.24,4.91,23.8,73.49,18.45
7/1/1968,1.04,1.19,5.07,24,75.48,21.15
8/1/1968,0.99,1.19,5.25,23.9,58.64,19.85
9/1/1968,1.01,1.22,5.46,23.6,52.34,15.57
10/1/1968,0.96,1.26,5.63,23,60.1,9.95
11/1/1968,1.04,1.29,5.69,23,37.17,2.39
12/1/1968,1.05,1.26,5.61,23.5,64.91,-4.25
1/1/1969,1.08,1.27,5.57,23.8,43.1,-4.77
2/1/1969,1.09,1.28,5.5,24.3,36.96,-2.46
3/1/1969,1.09,1.28,5.41,25.4,57.85,-0.03
4/1/1969,1.12,1.28,5.29,26.7,59.97,9.13
5/1/1969,1.19,1.28,5.19,28.6,58.27,14.48
6/1/1969,1.18,1.22,5.11,29.4,64.87,17.97
7/1/1969,1.18,1.15,5.24,27.9,60.24,21.4
8/1/1969,1.18,1.19,5.39,26.9,59.78,20.45
9/1/1969,1.15,1.24,5.68,26.1,70.75,16.67
10/1/1969,1.12,1.28,5.85,25.4,66.16,8.96
11/1/1969,1.07,1.29,5.92,24.9,48.84,2.28
12/1/1969,1.09,1.3,5.89,25.6,50.9,-1.01
1/1/1970,1.12,1.29,5.86,26.4,41.89,-5.67
2/1/1970,1.14,1.3,5.76,27.4,52.66,-0.35
3/1/1970,1.13,1.28,5.61,29,43.6,1.51
4/1/1970,1.15,1.32,5.56,28.7,40,7.26
5/1/1970,1.18,1.31,5.44,27.9,64.37,14.19
6/1/1970,1.21,1.23,5.38,28.1,58.95,18.53
7/1/1970,1.24,1.23,5.47,28.1,73.59,21.37
8/1/1970,1.27,1.31,5.58,27.1,68.58,20.85
9/1/1970,1.38,1.41,5.83,26.8,68.21,15.73
10/1/1970,1.34,1.43,6.02,26.5,63.92,8.49
11/1/1970,1.29,1.45,6.09,25.1,44.61,2.81
12/1/1970,1.36,1.41,6.07,24.4,72.07,-2.07
1/1/1971,1.42,1.4,5.99,26.1,49.43,-5.34
2/1/1971,1.43,1.41,5.96,28.9,37.14,-2.37
3/1/1971,1.43,1.39,5.86,28.8,46.07,0.7
4/1/1971,1.41,1.4,5.73,29.1,48.79,7.32
5/1/1971,1.38,1.43,5.6,29.5,65.66,12.57
6/1/1971,1.43,1.46,5.52,28.9,70.76,19.07
7/1/1971,1.36,1.34,5.63,28.5,67.78,20.7
8/1/1971,1.19,1.28,5.75,29.3,64.41,20.27
9/1/1971,1.11,1.26,5.98,29.2,65.96,15.91
10/1/1971,1,1.3,6.09,29.3,66.53,10.22
11/1/1971,0.97,1.31,6.18,29.9,67.41,2.32
12/1/1971,1.08,1.34,6.17,30.3,65.25,-1.67
1/1/1972,1.09,1.33,6.12,31.8,55.11,-4.46
2/1/1972,1.09,1.34,6.13,32.9,43.71,-2.51
3/1/1972,1.1,1.34,6.02,32.5,87.57,2.52
4/1/1972,1.13,1.36,5.86,32.2,71.12,7.18
